symbol,trade_count,fill_rate_pct,win_rate_pct,avg_return_pct,median_return_pct,trade_sharpe,avg_gap_pct,avg_holding_bars
ANET,141,43.972,2.837,-0.922,-0.566,-0.559,2.45,1.305
ABBV,52,32.692,1.923,-0.923,-0.57,-0.792,1.924,1.327
AKAM,74,35.135,5.405,-0.935,-0.672,-0.469,2.59,1.189
LLY,65,36.923,4.615,-0.936,-0.625,-0.709,2.323,1.354
ULTA,87,44.828,4.598,-0.938,-0.508,-0.483,2.462,1.391
SPG,65,41.538,0.0,-0.94,-0.543,-1.018,1.937,1.0
AMD,166,45.181,1.807,-0.949,-0.68,-0.679,2.246,1.163
Q,6,0.0,0.0,-0.953,-0.728,-1.535,1.962,1.0
GRMN,63,41.27,1.587,-0.954,-0.547,-0.696,2.273,1.254
RCL,126,42.063,2.381,-0.964,-0.642,-0.972,2.194,1.167
COHR,154,53.896,1.948,-0.965,-0.671,-0.556,2.338,1.182
DASH,57,52.632,0.0,-0.968,-0.645,-0.932,1.949,1.035
CIEN,128,45.312,3.906,-0.971,-0.594,-0.438,2.624,1.328
SRE,17,35.294,5.882,-0.971,-0.551,-0.44,2.699,1.353
HAL,141,42.553,0.0,-0.975,-0.611,-0.677,1.907,1.05
REGN,48,43.75,2.083,-0.982,-0.718,-0.765,2.092,1.104
UHS,60,36.667,1.667,-0.989,-0.579,-0.928,2.076,1.183
NCLH,149,51.007,1.342,-0.994,-0.689,-0.722,2.203,1.04
CEG,31,35.484,6.452,-0.994,-0.764,-0.381,3.213,1.29
AXON,84,30.952,3.571,-0.999,-0.664,-0.378,2.955,1.143
NRG,66,33.333,1.515,-1.004,-0.527,-0.751,2.184,1.136
MCK,52,28.846,0.0,-1.016,-0.709,-0.707,1.968,1.115
NFLX,83,32.53,9.639,-1.026,-0.589,-0.35,3.129,1.578
TTD,109,44.037,4.587,-1.027,-0.661,-0.286,3.769,1.321
DLTR,63,25.397,6.349,-1.035,-0.642,-0.59,3.271,1.635
DVA,59,32.203,6.78,-1.068,-0.676,-0.435,3.0,1.695
DDOG,84,51.19,4.762,-1.072,-0.665,-0.758,2.777,1.286
CASY,32,28.125,0.0,-1.089,-0.708,-1.158,2.3,1.25
INTC,113,44.248,2.655,-1.09,-0.656,-0.552,2.584,1.451
FE,19,31.579,0.0,-1.09,-0.551,-0.721,2.081,1.0
ORLY,29,17.241,0.0,-1.094,-0.718,-1.038,2.178,1.138
SMCI,113,46.018,5.31,-1.096,-0.942,-0.245,4.153,1.345
SNDK,26,38.462,0.0,-1.112,-0.879,-1.289,2.312,1.0
ALGN,106,41.509,2.83,-1.116,-0.534,-0.481,3.107,1.311
CVNA,85,49.412,3.529,-1.121,-0.802,-0.268,3.966,1.153
KHC,36,33.333,2.778,-1.127,-0.611,-0.691,2.452,1.389
CMG,86,31.395,0.0,-1.132,-0.679,-0.934,2.439,1.244
LITE,117,51.282,2.564,-1.136,-0.636,-0.629,2.687,1.231
VRT,95,54.737,1.053,-1.151,-0.669,-0.773,2.727,1.158
CHTR,44,29.545,2.273,-1.167,-0.523,-0.696,2.567,1.205
APA,137,45.255,0.0,-1.176,-0.686,-0.529,2.267,1.022
CHRW,42,28.571,4.762,-1.19,-0.721,-0.788,2.838,1.381
PLTR,85,48.235,1.176,-1.204,-0.716,-0.608,2.689,1.094
VRTX,36,41.667,2.778,-1.233,-0.453,-0.56,3.439,1.611
BAX,44,34.091,0.0,-1.249,-0.578,-0.752,2.318,1.136
PODD,50,38.0,0.0,-1.276,-0.782,-0.992,2.727,1.0
SATS,64,45.312,0.0,-1.318,-0.628,-0.529,3.492,1.141
PCG,50,34.0,8.0,-1.883,-0.604,-0.311,4.683,1.48
