symbol,trade_count,fill_rate_pct,win_rate_pct,avg_return_pct,median_return_pct,trade_sharpe,avg_gap_pct,avg_holding_bars
HLT,81,50.617,2.469,-0.542,-0.475,-0.414,1.483,1.074
AEP,20,35.0,0.0,-0.544,-0.452,-1.668,1.081,1.0
IVZ,139,49.64,2.158,-0.549,-0.473,-0.482,1.387,1.129
AMAT,175,44.571,5.143,-0.55,-0.586,-0.467,1.677,1.183
ATO,17,29.412,0.0,-0.55,-0.513,-2.504,1.11,1.059
O,46,43.478,2.174,-0.551,-0.414,-0.713,1.298,1.196
ETR,32,43.75,0.0,-0.552,-0.391,-1.462,1.107,1.0
PLD,50,30.0,2.0,-0.553,-0.555,-0.871,1.353,1.12
ABNB,73,50.685,4.11,-0.554,-0.492,-0.408,1.736,1.288
AMT,51,31.373,0.0,-0.554,-0.445,-1.881,1.108,1.0
RSG,27,40.741,0.0,-0.556,-0.457,-1.561,1.104,1.0
MO,65,36.923,3.077,-0.556,-0.499,-0.935,1.237,1.108
TECH,40,42.5,5.0,-0.558,-0.469,-0.425,1.615,1.175
BR,49,36.735,0.0,-0.558,-0.446,-1.392,1.103,1.0
IRM,63,39.683,1.587,-0.559,-0.448,-0.931,1.234,1.079
TPR,138,46.377,5.072,-0.56,-0.582,-0.278,2.103,1.268
TROW,100,51.0,1.0,-0.564,-0.452,-1.076,1.228,1.06
FRT,48,50.0,2.083,-0.564,-0.508,-0.51,1.439,1.062
WRB,52,50.0,5.769,-0.564,-0.529,-0.484,1.527,1.231
CMI,94,48.936,4.255,-0.564,-0.458,-0.681,1.433,1.223
EG,61,45.902,4.918,-0.564,-0.503,-0.53,1.449,1.213
GPC,68,44.118,4.412,-0.564,-0.439,-0.571,1.623,1.279
HIG,74,48.649,4.054,-0.566,-0.495,-0.462,1.573,1.338
HD,71,42.254,1.408,-0.566,-0.505,-1.223,1.192,1.113
FDX,100,35.0,8.0,-0.566,-0.57,-0.303,2.382,1.5
DHI,81,33.333,3.704,-0.566,-0.566,-0.317,1.714,1.185
EXE,29,51.724,3.448,-0.568,-0.551,-0.626,1.509,1.207
HPE,129,51.163,3.101,-0.568,-0.466,-0.384,1.689,1.264
ALL,49,42.857,2.041,-0.57,-0.504,-0.601,1.513,1.184
C,143,41.958,2.098,-0.57,-0.527,-0.45,1.498,1.161
USB,108,47.222,0.926,-0.571,-0.449,-0.595,1.318,1.102
NTRS,100,40.0,5.0,-0.571,-0.452,-0.695,1.423,1.2
COF,130,53.077,3.077,-0.572,-0.512,-0.359,1.776,1.238
BRK-B,57,49.123,0.0,-0.574,-0.399,-1.611,1.148,1.07
REG,44,50.0,0.0,-0.575,-0.446,-1.541,1.163,1.0
TDG,85,42.353,9.412,-0.575,-0.53,-0.336,2.116,1.518
ES,25,36.0,0.0,-0.575,-0.388,-1.365,1.125,1.0
TYL,46,52.174,0.0,-0.577,-0.401,-1.458,1.153,1.065
PM,57,38.596,5.263,-0.577,-0.444,-0.753,1.435,1.404
GD,48,50.0,2.083,-0.578,-0.491,-0.663,1.358,1.083
QCOM,112,44.643,6.25,-0.578,-0.516,-0.399,1.894,1.393
PNR,97,48.454,2.062,-0.579,-0.461,-1.099,1.318,1.216
EBAY,73,39.726,9.589,-0.581,-0.488,-0.284,2.337,1.658
WAT,66,34.848,6.061,-0.581,-0.475,-0.407,2.038,1.561
PCAR,63,49.206,0.0,-0.584,-0.447,-1.575,1.158,1.048
